2025-03-30 18:28:26,343 - PAID - INFO - Arguments: Namespace(mode='train', data_root='./data/datasets/AttGAN', save_dir='./output/PAID_20250330_182826', resume=None, seed=42, gpu='0', batch_size=8, num_workers=4, image_size=256, patch_size=32, stride=16, num_high_freq_patches=9, num_low_freq_patches=9, feature_dim=256, epochs=50, lr=0.001, weight_decay=0.0001, lr_scheduler='cosine', lr_step_size=10, lr_gamma=0.1, warmup_epochs=5, print_freq=10, save_freq=5, eval_freq=1, image=None)
2025-03-30 18:28:26,343 - PAID - INFO - Using device: cuda
2025-03-30 18:28:26,355 - PAID - INFO - Training dataset size: 3192
2025-03-30 18:28:26,355 - PAID - INFO - Validation dataset size: 160
2025-03-30 18:28:26,715 - PAID - INFO - Starting training...
2025-03-30 18:28:28,562 - PAID - INFO - Epoch [1/50] Batch [10/399] Loss: 0.6938, Acc: 0.3750
2025-03-30 18:28:28,823 - PAID - INFO - Epoch [1/50] Batch [20/399] Loss: 0.6733, Acc: 0.2500
2025-03-30 18:28:29,096 - PAID - INFO - Epoch [1/50] Batch [30/399] Loss: 0.6538, Acc: 0.7500
2025-03-30 18:28:29,368 - PAID - INFO - Epoch [1/50] Batch [40/399] Loss: 0.6420, Acc: 0.3750
2025-03-30 18:28:29,624 - PAID - INFO - Epoch [1/50] Batch [50/399] Loss: 0.6366, Acc: 0.6250
2025-03-30 18:28:29,929 - PAID - INFO - Epoch [1/50] Batch [60/399] Loss: 0.6055, Acc: 0.8750
2025-03-30 18:28:30,171 - PAID - INFO - Epoch [1/50] Batch [70/399] Loss: 0.5710, Acc: 0.8750
2025-03-30 18:28:30,419 - PAID - INFO - Epoch [1/50] Batch [80/399] Loss: 0.5549, Acc: 0.7500
2025-03-30 18:28:30,804 - PAID - INFO - Epoch [1/50] Batch [90/399] Loss: 0.5273, Acc: 1.0000
2025-03-30 18:28:31,044 - PAID - INFO - Epoch [1/50] Batch [100/399] Loss: 0.5100, Acc: 0.8750
2025-03-30 18:28:31,293 - PAID - INFO - Epoch [1/50] Batch [110/399] Loss: 0.4901, Acc: 1.0000
2025-03-30 18:28:31,630 - PAID - INFO - Epoch [1/50] Batch [120/399] Loss: 0.4770, Acc: 0.8750
2025-03-30 18:28:31,884 - PAID - INFO - Epoch [1/50] Batch [130/399] Loss: 0.4631, Acc: 1.0000
2025-03-30 18:28:32,138 - PAID - INFO - Epoch [1/50] Batch [140/399] Loss: 0.4502, Acc: 0.8750
2025-03-30 18:28:32,402 - PAID - INFO - Epoch [1/50] Batch [150/399] Loss: 0.4331, Acc: 1.0000
2025-03-30 18:28:32,654 - PAID - INFO - Epoch [1/50] Batch [160/399] Loss: 0.4231, Acc: 0.8750
2025-03-30 18:28:32,919 - PAID - INFO - Epoch [1/50] Batch [170/399] Loss: 0.4220, Acc: 1.0000
2025-03-30 18:28:33,219 - PAID - INFO - Epoch [1/50] Batch [180/399] Loss: 0.4166, Acc: 0.8750
2025-03-30 18:28:33,487 - PAID - INFO - Epoch [1/50] Batch [190/399] Loss: 0.4050, Acc: 0.8750
2025-03-30 18:28:33,734 - PAID - INFO - Epoch [1/50] Batch [200/399] Loss: 0.3912, Acc: 1.0000
2025-03-30 18:28:33,980 - PAID - INFO - Epoch [1/50] Batch [210/399] Loss: 0.3845, Acc: 0.8750
2025-03-30 18:28:34,229 - PAID - INFO - Epoch [1/50] Batch [220/399] Loss: 0.3717, Acc: 0.8750
2025-03-30 18:28:34,501 - PAID - INFO - Epoch [1/50] Batch [230/399] Loss: 0.3680, Acc: 1.0000
2025-03-30 18:28:34,764 - PAID - INFO - Epoch [1/50] Batch [240/399] Loss: 0.3613, Acc: 1.0000
