2025-03-30 18:50:41,894 - PAID - INFO - Arguments: Namespace(mode='train', data_root='./data/datasets/AttGAN', save_dir='./output/PAID_20250330_185041', resume=None, seed=42, gpu='0', batch_size=8, num_workers=4, image_size=256, patch_size=32, stride=16, num_high_freq_patches=9, num_low_freq_patches=9, feature_dim=256, epochs=10, lr=0.001, weight_decay=0.0001, lr_scheduler='cosine', lr_step_size=10, lr_gamma=0.1, warmup_epochs=5, print_freq=10, save_freq=5, eval_freq=1, image=None)
2025-03-30 18:50:41,894 - PAID - INFO - Using device: cuda
2025-03-30 18:50:41,907 - PAID - INFO - Training dataset size: 3192
2025-03-30 18:50:41,907 - PAID - INFO - Validation dataset size: 160
2025-03-30 18:50:42,269 - PAID - INFO - Starting training...
2025-03-30 18:50:43,628 - PAID - INFO - Epoch [1/10] Batch [10/399] Loss: 0.6938, Acc: 0.3750
2025-03-30 18:50:43,951 - PAID - INFO - Epoch [1/10] Batch [20/399] Loss: 0.6733, Acc: 0.2500
2025-03-30 18:50:44,230 - PAID - INFO - Epoch [1/10] Batch [30/399] Loss: 0.6538, Acc: 0.7500
2025-03-30 18:50:44,518 - PAID - INFO - Epoch [1/10] Batch [40/399] Loss: 0.6420, Acc: 0.3750
2025-03-30 18:50:44,806 - PAID - INFO - Epoch [1/10] Batch [50/399] Loss: 0.6366, Acc: 0.6250
2025-03-30 18:50:45,074 - PAID - INFO - Epoch [1/10] Batch [60/399] Loss: 0.6055, Acc: 0.8750
2025-03-30 18:50:45,366 - PAID - INFO - Epoch [1/10] Batch [70/399] Loss: 0.5710, Acc: 0.8750
2025-03-30 18:50:45,614 - PAID - INFO - Epoch [1/10] Batch [80/399] Loss: 0.5549, Acc: 0.7500
2025-03-30 18:50:45,984 - PAID - INFO - Epoch [1/10] Batch [90/399] Loss: 0.5273, Acc: 1.0000
2025-03-30 18:50:46,268 - PAID - INFO - Epoch [1/10] Batch [100/399] Loss: 0.5100, Acc: 0.8750
2025-03-30 18:50:46,523 - PAID - INFO - Epoch [1/10] Batch [110/399] Loss: 0.4901, Acc: 1.0000
2025-03-30 18:50:46,884 - PAID - INFO - Epoch [1/10] Batch [120/399] Loss: 0.4770, Acc: 0.8750
2025-03-30 18:50:47,124 - PAID - INFO - Epoch [1/10] Batch [130/399] Loss: 0.4631, Acc: 1.0000
2025-03-30 18:50:47,369 - PAID - INFO - Epoch [1/10] Batch [140/399] Loss: 0.4502, Acc: 0.8750
2025-03-30 18:50:47,617 - PAID - INFO - Epoch [1/10] Batch [150/399] Loss: 0.4331, Acc: 1.0000
2025-03-30 18:50:47,884 - PAID - INFO - Epoch [1/10] Batch [160/399] Loss: 0.4231, Acc: 0.8750
2025-03-30 18:50:48,129 - PAID - INFO - Epoch [1/10] Batch [170/399] Loss: 0.4220, Acc: 1.0000
2025-03-30 18:50:48,375 - PAID - INFO - Epoch [1/10] Batch [180/399] Loss: 0.4166, Acc: 0.8750
